stage,decision,count,author_attention,source
Direct queries,retrieved,184,no,formal-search-v0.7.0.json
Citation chains,retrieved,2482,no,formal-search-v0.7.0.json
Combined pool,pooled,2666,no,formal-search-v0.7.0.json
Deduplicated pool,deduplicated,2431,no,formal-search-v0.7.0.json
Preliminary triage,retain-close,12,yes,formal-screening-proposals-v0.7.0.json
Preliminary triage,retain-background,13,no,formal-screening-proposals-v0.7.0.json
Preliminary triage,exclude-single-component,77,yes,formal-screening-proposals-v0.7.0.json
Preliminary triage,exclude-topic,1239,no,formal-screening-proposals-v0.7.0.json
Preliminary triage,inaccessible,1087,no,formal-screening-proposals-v0.7.0.json
Preliminary triage,exclude-outside-cutoff,3,no,formal-screening-proposals-v0.7.0.json
Author gate,open queue,89,yes,derived: retain-close plus exclude-single-component
