sample_id,record_key,title,year,venue,primary_stratum,stratum_population,stratum_allocation,stratum_rank,selection_digest,origins,selection_status
RS-FC-001,doi:10.1016/j.hrmr.2026.101135,A meta-analysis on reactions to algorithmic decision-making in human resource management,2026,Human Resource Management Review,forward-citation,391,102,1,0057ffda033edeb6cb7e206ceca360e14844d6b4b93f6d98414c8f509889afa7,citation:L25,selected-before-retrieval
RS-FC-002,doi:10.2139/ssrn.4080050,Data Justice in Practice: A Guide for Policymakers,2022,Social Science Research Network,forward-citation,391,102,2,00615de049c00382789a6d223a76ab5c70614a8b83e18c89a7530e1468df4037,citation:L14,selected-before-retrieval
RS-FC-003,doi:10.48550/arxiv.2203.15370,A Principle-based Ethical Assurance Argument for AI and Autonomous Systems,2022,arXiv.org,forward-citation,391,102,3,00d9af7ca8e6070ebe637d892e32cbfdc4de944562965d0a8e9d421634f9bbe4,citation:L01;citation:L14,selected-before-retrieval
RS-FC-004,doi:10.1007/s13347-023-00605-y,Correction to: The Responsibility Gap and LAWS: a Critical Mapping of the Debate,2023,Philosophy & Technology,forward-citation,391,102,4,01cbc3e4ad68f4827ed3c4d2f0d7705e4eadf37cdbf8fb8e5b175b3b94f3c692,citation:L01,selected-before-retrieval
RS-FC-005,title:through a different lens applying contemporary systems analysis methods in road safety|year:2012,Through a different lens: applying contemporary systems analysis methods in road safety,2012,,forward-citation,391,102,5,01cdedd139d891ad8b796bb2a342b8fb68749cbe2af9c7473711d846ede0415a,citation:L16,selected-before-retrieval
RS-FC-006,doi:10.1016/j.ssci.2026.107161,Development of a competency framework for healthcare safety investigators: a modified e-Delphi study,2026,Safety Science,forward-citation,391,102,6,01de6ca6d4eb31ebf716cd0bf444cec8b656b1f0d2051ef17cd1d9d749574632,citation:L16,selected-before-retrieval
RS-FC-007,title:an investigation of the relationship between human and organizational factors in occupational accidents using bayesian network approach a case study in mining accidents|year:2021,An investigation of the relationship between human and organizational factors in occupational accidents using Bayesian network approach: A case study in mining accidents,2021,,forward-citation,391,102,7,029b514a8578f0472b40cea32fa8cc0d3a4d77ed3271f233827933354fd65f48,citation:L16,selected-before-retrieval
RS-FC-008,doi:10.1007/s10676-021-09613-y,Psychological consequences of legal responsibility misattribution associated with automated vehicles,2021,Ethics and Information Technology,forward-citation,391,102,8,02e355d7af7b00a952ee7c450dea7602837fca35bfc140cdafbb502e351962dd,citation:L17,selected-before-retrieval
RS-FC-009,doi:10.1097/qmh.0000000000000065,"Development and Validation of the CPO Scale, a New Instrument for Evaluation of Health Care Improvement Efforts",2015,Quality Management in Health Care,forward-citation,391,102,9,03db7632147394285f9095245342683793e4262e0f1e41fbef51b94760879f5b,citation:L16,selected-before-retrieval
RS-FC-010,doi:10.48550/arxiv.2603.16663,When Openclaw Agents Learn from Each Other: Insights from Emergent AI Agent Communities for Human-AI Partnership in Education,2026,arXiv.org,forward-citation,391,102,10,053fcb68a6504742c1ae7ceabe62bcda63b50794cc13e0a7f8528857edb461a9,citation:L01,selected-before-retrieval
